Datum,Plats,Temp,Luftfuktighet
01/10/2016 01:17,Inne,22.9,41
01/10/2016 01:17,Ute,11.3,66
01/10/2016 01:18,Inne,22.9,41
01/10/2016 01:18,Ute,11.1,66
01/10/2016 01:19,Inne,22.9,41
01/10/2016 01:19,Ute,11.1,66
01/10/2016 01:20,Inne,22.9,41
01/10/2016 01:20,Ute,11.1,65
01/10/2016 01:21,Inne,22.9,41
01/10/2016 01:21,Ute,11.1,66
01/10/2016 01:22,Inne,22.9,41
01/10/2016 01:22,Ute,11.1,65
01/10/2016 01:23,Inne,22.9,41
01/10/2016 01:23,Ute,11.1,65
01/10/2016 01:24,Inne,22.9,41
01/10/2016 01:24,Ute,11.1,66
01/10/2016 01:25,Inne,22.9,41
01/10/2016 01:25,Ute,11.1,66
01/10/2016 01:26,Inne,22.9,41
01/10/2016 01:26,Ute,11.1,66
01/10/2016 01:27,Inne,22.9,41
01/10/2016 01:27,Ute,11.1,67
01/10/2016 01:28,Inne,22.9,41
01/10/2016 01:28,Ute,11.1,67
01/10/2016 01:29,Inne,22.9,41
01/10/2016 01:29,Ute,11.1,67
01/10/2016 01:30,Inne,22.9,41
01/10/2016 01:30,Ute,11.1,66
01/10/2016 01:31,Inne,22.9,41
01/10/2016 01:31,Ute,11.1,66
01/10/2016 01:32,Inne,22.9,41
01/10/2016 01:32,Ute,11.1,66
01/10/2016 01:33,Inne,22.9,41
01/10/2016 01:33,Ute,11.1,66
01/10/2016 01:34,Inne,22.9,41
01/10/2016 01:34,Ute,11.1,66
01/10/2016 01:35,Inne,22.9,41
01/10/2016 01:35,Ute,11.1,67
01/10/2016 01:36,Inne,22.9,41
01/10/2016 01:36,Ute,11.1,66
01/10/2016 01:37,Inne,22.9,41
01/10/2016 01:37,Ute,11.1,66
01/10/2016 01:38,Inne,22.9,41
01/10/2016 01:38,Ute,11.1,66
01/10/2016 01:39,Inne,22.9,41
01/10/2016 01:39,Ute,11.1,66
01/10/2016 01:40,Inne,22.9,41
01/10/2016 01:40,Ute,11.1,66
01/10/2016 01:41,Inne,22.9,41
01/10/2016 01:41,Ute,11.1,66
01/10/2016 01:42,Inne,22.9,41
01/10/2016 01:42,Ute,11.1,66
01/10/2016 01:43,Inne,22.9,41
01/10/2016 01:43,Ute,11.1,66
01/10/2016 01:44,Inne,22.9,41
01/10/2016 01:44,Ute,11.1,66
01/10/2016 01:45,Inne,22.9,41
01/10/2016 01:45,Ute,11.1,66
01/10/2016 01:46,Inne,22.9,41
01/10/2016 01:46,Ute,11.1,66
01/10/2016 01:47,Inne,22.9,41
01/10/2016 01:47,Ute,11.1,65
01/10/2016 01:48,Inne,22.9,41
01/10/2016 01:48,Ute,11.1,65
01/10/2016 01:49,Inne,22.9,41
01/10/2016 01:49,Ute,11.1,66
01/10/2016 01:50,Inne,22.9,41
01/10/2016 01:50,Ute,11.1,66
01/10/2016 01:51,Inne,22.9,41
01/10/2016 01:51,Ute,11.1,66
01/10/2016 01:52,Inne,22.9,41
01/10/2016 01:52,Ute,11.1,67
01/10/2016 01:53,Inne,22.9,41
01/10/2016 01:53,Ute,11.1,67
01/10/2016 01:54,Inne,22.9,41
01/10/2016 01:54,Ute,11.1,66
01/10/2016 01:55,Inne,22.9,41
01/10/2016 01:55,Ute,11.1,66
01/10/2016 01:56,Inne,22.9,41
01/10/2016 01:56,Ute,11.1,66
01/10/2016 01:57,Inne,22.9,41
01/10/2016 01:57,Ute,11.1,66
01/10/2016 01:58,Inne,22.9,41
01/10/2016 01:58,Ute,11.1,67
01/10/2016 01:59,Inne,22.9,41
01/10/2016 01:59,Ute,11.1,67
01/10/2016 02:00,Inne,22.9,41
01/10/2016 02:00,Ute,11.1,66
01/10/2016 02:01,Inne,22.9,41
01/10/2016 02:01,Ute,11.1,66
01/10/2016 02:02,Inne,22.9,41
01/10/2016 02:02,Ute,11.1,66
01/10/2016 02:03,Inne,22.9,41
01/10/2016 02:03,Ute,11.1,66
01/10/2016 02:04,Inne,22.9,41
01/10/2016 02:04,Ute,11.1,66
01/10/2016 02:05,Inne,22.9,41
01/10/2016 02:05,Ute,11.1,66
01/10/2016 02:06,Inne,22.9,41
01/10/2016 02:06,Ute,11,66
01/10/2016 02:07,Inne,22.9,41
01/10/2016 02:07,Ute,11,66
01/10/2016 02:08,Inne,22.9,41
01/10/2016 02:08,Ute,11,66
01/10/2016 02:09,Inne,22.9,41
01/10/2016 02:09,Ute,11,66
01/10/2016 02:10,Inne,22.9,41
01/10/2016 02:10,Ute,11,66
01/10/2016 02:11,Inne,22.9,41
01/10/2016 02:11,Ute,11,66
01/10/2016 02:12,Inne,22.9,41
01/10/2016 02:12,Ute,11,66
01/10/2016 02:13,Inne,22.9,41
01/10/2016 02:13,Ute,11,66
01/10/2016 02:14,Inne,22.9,41
01/10/2016 02:14,Ute,11,66
01/10/2016 02:15,Inne,22.9,41
01/10/2016 02:15,Ute,11,66
01/10/2016 02:16,Inne,22.9,41
01/10/2016 02:16,Ute,11,66
01/10/2016 02:17,Inne,22.9,41
01/10/2016 02:17,Ute,11,66
01/10/2016 02:18,Inne,22.9,41
01/10/2016 02:18,Ute,11,66
01/10/2016 02:19,Inne,22.9,41
01/10/2016 02:19,Ute,11,66
01/10/2016 02:20,Inne,22.9,41
01/10/2016 02:20,Ute,11,66
01/10/2016 02:21,Inne,22.9,41
01/10/2016 02:21,Ute,11,66
01/10/2016 02:22,Inne,22.9,41
01/10/2016 02:22,Ute,10.9,67
01/10/2016 02:23,Inne,22.9,41
01/10/2016 02:23,Ute,11,67
01/10/2016 02:24,Inne,22.9,41
01/10/2016 02:24,Ute,11,67
01/10/2016 02:25,Inne,22.9,41
01/10/2016 02:25,Ute,11,67
01/10/2016 02:26,Inne,22.9,41
01/10/2016 02:26,Ute,11,66
01/10/2016 02:27,Inne,22.9,41
01/10/2016 02:27,Ute,11.1,66
01/10/2016 02:28,Inne,22.9,41
01/10/2016 02:28,Ute,11.1,66
01/10/2016 02:29,Inne,22.9,41
01/10/2016 02:29,Ute,11.1,66
01/10/2016 02:30,Inne,22.9,41
01/10/2016 02:30,Ute,11.1,66
01/10/2016 02:31,Inne,23,41
01/10/2016 02:31,Ute,11.1,67
01/10/2016 02:32,Inne,22.9,41
01/10/2016 02:32,Ute,11.1,66
01/10/2016 02:33,Inne,22.9,41
01/10/2016 02:33,Ute,11.1,66
01/10/2016 02:34,Inne,22.9,41
01/10/2016 02:34,Ute,11.1,66
01/10/2016 02:35,Inne,22.9,41
01/10/2016 02:35,Ute,11.1,66
01/10/2016 02:36,Inne,22.9,41
01/10/2016 02:36,Ute,11.1,66
01/10/2016 02:37,Inne,22.9,41
01/10/2016 02:37,Ute,11.1,67
01/10/2016 02:38,Inne,22.9,41
01/10/2016 02:38,Ute,11.1,66
01/10/2016 02:39,Inne,22.9,41
01/10/2016 02:39,Ute,11.1,66
01/10/2016 02:40,Inne,22.9,41
01/10/2016 02:40,Ute,11.1,66
01/10/2016 02:41,Inne,22.9,41
01/10/2016 02:41,Ute,11.1,66
01/10/2016 02:42,Inne,22.9,41
01/10/2016 02:42,Ute,11.1,66
01/10/2016 02:43,Inne,22.9,41
01/10/2016 02:43,Ute,11.1,66
01/10/2016 02:44,Inne,22.9,41
01/10/2016 02:44,Ute,11.1,66
01/10/2016 02:45,Inne,22.9,41
01/10/2016 02:45,Ute,11.1,66
01/10/2016 02:46,Inne,22.9,41
01/10/2016 02:46,Ute,11.1,66
01/10/2016 02:47,Inne,22.9,41
01/10/2016 02:47,Ute,11.1,66
01/10/2016 02:48,Inne,22.9,41
01/10/2016 02:48,Ute,11.1,66
01/10/2016 02:49,Inne,22.9,41
01/10/2016 02:49,Ute,11.1,66
01/10/2016 02:50,Inne,22.9,41
01/10/2016 02:50,Ute,11.1,66
01/10/2016 02:51,Inne,22.9,41
01/10/2016 02:51,Ute,11.1,66
01/10/2016 02:52,Inne,22.9,41
01/10/2016 02:52,Ute,11.1,66
01/10/2016 02:53,Inne,22.9,41
01/10/2016 02:53,Ute,11.1,66
01/10/2016 02:54,Inne,22.9,41
01/10/2016 02:54,Ute,11.1,66
01/10/2016 02:55,Inne,22.9,41
01/10/2016 02:55,Ute,11.1,67
01/10/2016 02:56,Inne,22.9,41
01/10/2016 02:56,Ute,11.1,67
01/10/2016 02:57,Inne,23,41
01/10/2016 02:57,Ute,11.3,67
01/10/2016 02:58,Inne,22.9,41
01/10/2016 02:58,Ute,11.3,66
01/10/2016 02:59,Inne,22.9,41
01/10/2016 02:59,Ute,11.1,66
01/10/2016 02:59,Inne,22.9,41
01/10/2016 03:00,Ute,11.1,67
01/10/2016 03:00,Inne,22.9,41
01/10/2016 03:01,Ute,11.2,66
01/10/2016 03:01,Inne,22.9,41
01/10/2016 03:02,Ute,11.2,66
01/10/2016 03:02,Inne,22.9,41
01/10/2016 03:03,Ute,11.2,66
01/10/2016 03:03,Inne,22.9,41
01/10/2016 03:04,Ute,11.2,66
01/10/2016 03:04,Inne,22.9,41
01/10/2016 03:05,Ute,11.2,66
01/10/2016 03:05,Inne,22.9,41
01/10/2016 03:06,Ute,11.2,66
01/10/2016 03:06,Inne,22.9,41
01/10/2016 03:07,Ute,11.2,66
01/10/2016 03:07,Inne,22.9,41
01/10/2016 03:08,Ute,11.2,66
01/10/2016 03:08,Inne,22.9,41
01/10/2016 03:09,Ute,11.3,66
01/10/2016 03:09,Inne,22.9,41
01/10/2016 03:10,Ute,11.2,66
01/10/2016 03:10,Inne,22.9,41
01/10/2016 03:11,Ute,11.2,66
01/10/2016 03:11,Inne,22.9,41
01/10/2016 03:12,Ute,11.2,66
01/10/2016 03:12,Inne,22.9,41
01/10/2016 03:13,Ute,11.2,66
01/10/2016 03:13,Inne,22.9,41
01/10/2016 03:14,Ute,11.2,66
01/10/2016 03:14,Inne,22.9,41
01/10/2016 03:15,Ute,11.3,66
01/10/2016 03:15,Inne,22.8,41
01/10/2016 03:16,Ute,11.2,66
01/10/2016 03:16,Inne,22.8,41
01/10/2016 03:17,Ute,11.3,66
01/10/2016 03:17,Inne,22.8,41
01/10/2016 03:18,Ute,11.3,66
01/10/2016 03:18,Inne,22.8,41
01/10/2016 03:19,Ute,11.3,66
01/10/2016 03:19,Inne,22.8,41
01/10/2016 03:20,Ute,11.3,65
01/10/2016 03:20,Inne,22.8,41
01/10/2016 03:21,Ute,11.3,65
01/10/2016 03:21,Inne,22.8,41
01/10/2016 03:22,Ute,11.3,65
01/10/2016 03:22,Inne,22.8,41
01/10/2016 03:23,Ute,11.3,65
01/10/2016 03:23,Inne,22.8,41
01/10/2016 03:24,Ute,11.3,65
01/10/2016 03:24,Inne,22.8,41
01/10/2016 03:25,Ute,11.3,64
01/10/2016 03:25,Inne,22.8,41
01/10/2016 03:26,Ute,11.3,64
01/10/2016 03:26,Inne,22.8,41
01/10/2016 03:27,Ute,11.3,64
01/10/2016 03:27,Inne,22.8,41
01/10/2016 03:28,Ute,11.3,64
01/10/2016 03:28,Inne,22.8,41
01/10/2016 03:29,Ute,11.3,64
01/10/2016 03:29,Inne,22.8,41
01/10/2016 03:30,Ute,11.3,64
01/10/2016 03:30,Inne,22.8,41
01/10/2016 03:31,Ute,11.3,64
01/10/2016 03:31,Inne,22.8,41
01/10/2016 03:32,Ute,11.3,64
01/10/2016 03:32,Inne,22.8,41
01/10/2016 03:33,Ute,11.3,64
01/10/2016 03:33,Inne,22.8,41
01/10/2016 03:34,Ute,11.3,64
01/10/2016 03:34,Inne,22.8,41
01/10/2016 03:35,Ute,11.3,64
01/10/2016 03:35,Inne,22.8,41
01/10/2016 03:36,Ute,11.3,64
01/10/2016 03:36,Inne,22.8,41
01/10/2016 03:37,Ute,11.3,64
01/10/2016 03:37,Inne,22.8,41
01/10/2016 03:38,Ute,11.3,64
01/10/2016 03:38,Inne,22.8,41
01/10/2016 03:39,Ute,11.3,64
01/10/2016 03:39,Inne,22.8,41
01/10/2016 03:40,Ute,11.3,64
01/10/2016 03:40,Inne,22.8,41
01/10/2016 03:41,Ute,11.4,64
01/10/2016 03:41,Inne,22.8,41
01/10/2016 03:42,Ute,11.4,64
01/10/2016 03:42,Inne,22.8,41
01/10/2016 03:43,Ute,11.4,64
01/10/2016 03:43,Inne,22.8,41
01/10/2016 03:44,Ute,11.4,64
01/10/2016 03:44,Inne,22.8,41
01/10/2016 03:45,Ute,11.4,64
01/10/2016 03:45,Inne,22.8,41
01/10/2016 03:46,Ute,11.4,64
01/10/2016 03:46,Inne,22.8,41
01/10/2016 03:47,Ute,11.4,64
01/10/2016 03:47,Inne,22.8,41
01/10/2016 03:48,Ute,11.4,64
01/10/2016 03:48,Inne,22.8,41
01/10/2016 03:49,Ute,11.4,64
01/10/2016 03:49,Inne,22.8,41
01/10/2016 03:50,Ute,11.4,64
01/10/2016 03:50,Inne,22.8,41
01/10/2016 03:51,Ute,11.5,64
01/10/2016 03:51,Inne,22.8,41
01/10/2016 03:52,Ute,11.5,64
01/10/2016 03:52,Inne,22.8,41
01/10/2016 03:53,Ute,11.5,63
01/10/2016 03:53,Inne,22.8,41
01/10/2016 03:54,Ute,11.5,63
01/10/2016 03:54,Inne,22.8,41
01/10/2016 03:55,Ute,11.5,63
01/10/2016 03:55,Inne,22.8,41
01/10/2016 03:56,Inne,22.8,41
01/10/2016 03:57,Ute,11.5,63
01/10/2016 03:57,Inne,22.8,41
01/10/2016 03:58,Ute,11.5,63
01/10/2016 03:58,Inne,22.8,41
01/10/2016 03:59,Ute,11.5,63
01/10/2016 03:59,Inne,22.8,41
01/10/2016 04:00,Ute,11.5,63
01/10/2016 04:00,Inne,22.8,41
01/10/2016 04:01,Ute,11.5,63
01/10/2016 04:01,Inne,22.8,41
01/10/2016 04:02,Ute,11.5,63
01/10/2016 04:02,Inne,22.8,41
01/10/2016 04:03,Ute,11.5,62
01/10/2016 04:04,Inne,22.8,41
01/10/2016 04:05,Ute,11.5,62
01/10/2016 04:05,Inne,22.8,41
01/10/2016 04:06,Ute,11.5,62
01/10/2016 04:06,Inne,22.8,41
01/10/2016 04:07,Ute,11.5,62
01/10/2016 04:07,Inne,22.8,41
01/10/2016 04:08,Ute,11.5,62
01/10/2016 04:08,Inne,22.8,41
01/10/2016 04:09,Ute,11.4,62
01/10/2016 04:09,Inne,22.8,41
01/10/2016 04:10,Ute,11.4,62
01/10/2016 04:10,Inne,22.8,41
01/10/2016 04:11,Ute,11.4,62
01/10/2016 04:11,Inne,22.8,41
01/10/2016 04:12,Ute,11.4,62
01/10/2016 04:12,Inne,22.8,41
01/10/2016 04:13,Ute,11.4,62
01/10/2016 04:13,Inne,22.8,41
01/10/2016 04:14,Ute,11.4,62
01/10/2016 04:14,Inne,22.8,41
01/10/2016 04:15,Ute,11.4,62
01/10/2016 04:15,Inne,22.8,41
01/10/2016 04:16,Ute,11.4,62
01/10/2016 04:16,Inne,22.8,41
01/10/2016 04:17,Ute,11.4,62
01/10/2016 04:17,Inne,22.8,41
01/10/2016 04:18,Ute,11.4,62
01/10/2016 04:18,Inne,22.8,41
01/10/2016 04:19,Ute,11.4,62
01/10/2016 04:19,Inne,22.8,41
01/10/2016 04:20,Ute,11.4,62
01/10/2016 04:20,Inne,22.8,41
01/10/2016 04:21,Ute,11.4,62
01/10/2016 04:21,Inne,22.8,41
01/10/2016 04:22,Ute,11.3,62
01/10/2016 04:22,Inne,22.8,41
01/10/2016 04:23,Ute,11.3,62
01/10/2016 04:23,Inne,22.8,41
01/10/2016 04:24,Ute,11.3,62
01/10/2016 04:24,Inne,22.8,41
01/10/2016 04:25,Ute,11.3,62
01/10/2016 04:25,Inne,22.8,41
01/10/2016 04:26,Ute,11.3,63
01/10/2016 04:26,Inne,22.8,41
01/10/2016 04:27,Ute,11.3,62
01/10/2016 04:27,Inne,22.8,41
01/10/2016 04:28,Ute,11.3,62
01/10/2016 04:28,Inne,22.9,41
01/10/2016 04:29,Ute,11.3,62
01/10/2016 04:29,Inne,22.8,41
01/10/2016 04:30,Ute,11.3,62
01/10/2016 04:30,Inne,22.8,41
01/10/2016 04:31,Ute,11.3,62
01/10/2016 04:31,Inne,22.8,41
01/10/2016 04:32,Ute,11.3,62
01/10/2016 04:32,Inne,22.8,41
01/10/2016 04:33,Ute,11.3,62
01/10/2016 04:33,Inne,22.8,41
01/10/2016 04:34,Ute,11.3,62
01/10/2016 04:34,Inne,22.8,41
01/10/2016 04:35,Ute,11.3,62
01/10/2016 04:35,Inne,22.8,41
01/10/2016 04:36,Ute,11.3,62
01/10/2016 04:36,Inne,22.8,41
01/10/2016 04:37,Ute,11.3,62
01/10/2016 04:37,Inne,22.8,41
01/10/2016 04:38,Ute,11.3,62
01/10/2016 04:38,Inne,22.8,41
01/10/2016 04:39,Ute,11.3,62
01/10/2016 04:39,Inne,22.8,41
01/10/2016 04:40,Ute,11.3,62
01/10/2016 04:40,Inne,22.8,41
01/10/2016 04:41,Ute,11.3,62
01/10/2016 04:41,Inne,22.8,41
01/10/2016 04:42,Ute,11.3,62
01/10/2016 04:42,Inne,22.8,41
01/10/2016 04:43,Ute,11.3,62
01/10/2016 04:43,Inne,22.8,41
01/10/2016 04:44,Ute,11.3,62
01/10/2016 04:44,Inne,22.8,41
01/10/2016 04:45,Ute,11.3,62
01/10/2016 04:45,Inne,22.8,41
01/10/2016 04:46,Ute,11.3,62
01/10/2016 04:46,Inne,22.8,41
01/10/2016 04:47,Ute,11.3,62
01/10/2016 04:47,Inne,22.8,41
01/10/2016 04:48,Ute,11.3,62
01/10/2016 04:48,Inne,22.8,41
01/10/2016 04:49,Ute,11.4,62
01/10/2016 04:49,Inne,22.8,41
01/10/2016 04:50,Ute,11.4,62
01/10/2016 04:50,Inne,22.8,41
01/10/2016 04:51,Ute,11.4,62
01/10/2016 04:51,Inne,22.8,41
01/10/2016 04:52,Ute,11.4,62
01/10/2016 04:52,Inne,22.8,41
01/10/2016 04:53,Ute,11.4,62
01/10/2016 04:53,Inne,22.8,41
01/10/2016 04:54,Ute,11.4,62
01/10/2016 04:54,Inne,22.8,41
01/10/2016 04:55,Ute,11.4,62
01/10/2016 04:55,Inne,22.8,41
01/10/2016 04:56,Ute,11.4,62
01/10/2016 04:56,Inne,22.8,41
01/10/2016 04:57,Ute,11.3,62
01/10/2016 04:57,Inne,22.8,41
01/10/2016 04:58,Ute,11.3,62
01/10/2016 04:58,Inne,22.8,41
01/10/2016 04:59,Ute,11.3,62
01/10/2016 04:59,Inne,22.8,41
01/10/2016 05:00,Ute,11.3,62
01/10/2016 05:00,Inne,22.8,41
01/10/2016 05:01,Ute,11.3,62
01/10/2016 05:01,Inne,22.8,41
01/10/2016 05:02,Ute,11.3,62
01/10/2016 05:02,Inne,22.8,41
01/10/2016 05:03,Ute,11.4,62
01/10/2016 05:03,Inne,22.8,41
01/10/2016 05:04,Ute,11.3,62
01/10/2016 05:04,Inne,22.8,41
01/10/2016 05:05,Ute,11.3,62
01/10/2016 05:05,Inne,22.8,41
01/10/2016 05:06,Ute,11.3,62
01/10/2016 05:06,Inne,22.8,41
01/10/2016 05:07,Ute,11.3,62
01/10/2016 05:07,Inne,22.8,41
01/10/2016 05:08,Ute,11.3,62
01/10/2016 05:08,Inne,22.8,41
01/10/2016 05:09,Ute,11.3,62
01/10/2016 05:09,Inne,22.8,41
01/10/2016 05:10,Ute,11.3,62
01/10/2016 05:10,Inne,22.8,41
01/10/2016 05:11,Ute,11.3,62
01/10/2016 05:11,Inne,22.8,41
01/10/2016 05:12,Ute,11.3,62
01/10/2016 05:12,Inne,22.8,41
01/10/2016 05:13,Ute,11.3,62
01/10/2016 05:13,Inne,22.8,41
01/10/2016 05:14,Ute,11.3,62
01/10/2016 05:14,Inne,22.8,41
01/10/2016 05:15,Ute,11.3,62
01/10/2016 05:15,Inne,22.8,41
01/10/2016 05:16,Ute,11.3,62
01/10/2016 05:16,Inne,22.8,41
01/10/2016 05:17,Ute,11.3,62
01/10/2016 05:17,Inne,22.8,41
01/10/2016 05:18,Ute,11.3,62
01/10/2016 05:18,Inne,22.8,41
01/10/2016 05:19,Ute,11.3,62
01/10/2016 05:19,Inne,22.8,41
01/10/2016 05:20,Ute,11.3,62
01/10/2016 05:20,Inne,22.8,41
01/10/2016 05:21,Ute,11.3,62
01/10/2016 05:21,Inne,22.8,41
01/10/2016 05:22,Ute,11.3,62
01/10/2016 05:22,Inne,22.8,41
01/10/2016 05:23,Ute,11.3,62
01/10/2016 05:23,Inne,22.8,41
01/10/2016 05:24,Ute,11.3,62
01/10/2016 05:24,Inne,22.8,41
01/10/2016 05:25,Ute,11.3,62
01/10/2016 05:25,Inne,22.8,41
01/10/2016 05:26,Ute,11.3,62
01/10/2016 05:26,Inne,22.8,41
01/10/2016 05:27,Ute,11.3,62
01/10/2016 05:27,Inne,22.8,41
01/10/2016 05:28,Ute,11.3,62
01/10/2016 05:28,Inne,22.8,41
01/10/2016 05:29,Ute,11.3,62
01/10/2016 05:29,Inne,22.8,41
01/10/2016 05:30,Ute,11.3,62
